2026-03-28 00:08:16 | INFO | CI | Logger configured.
2026-03-28 00:08:16 | INFO | CI | ========================
2026-03-28 00:08:16 | INFO | CI | Notebook executed successfully!
2026-03-28 00:08:16 | INFO | CI | ========================
2026-03-28 00:09:49 | INFO | CI | === RUN START ===
2026-03-28 00:09:49 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-28 00:09:49 | INFO | CI | repo_dir=nlp-03
2026-03-28 00:09:49 | INFO | CI | python=3.14.0
2026-03-28 00:09:49 | INFO | CI | os=Windows 11
2026-03-28 00:09:49 | INFO | CI | shell=powershell
2026-03-28 00:09:49 | INFO | CI | cwd=notebooks
2026-03-28 00:09:49 | INFO | CI | github_actions=False
2026-03-28 00:09:49 | INFO | CI | ROOT_PATH = .
2026-03-28 00:09:49 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-28 00:09:49 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-28 00:09:49 | INFO | CI | Logger configured.
2026-03-28 00:09:49 | INFO | CI | ========================
2026-03-28 00:09:49 | INFO | CI | Notebook executed successfully!
2026-03-28 00:09:49 | INFO | CI | ========================
2026-03-28 00:15:17 | INFO | CI | === RUN START ===
2026-03-28 00:15:17 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-28 00:15:17 | INFO | CI | repo_dir=nlp-03
2026-03-28 00:15:17 | INFO | CI | python=3.14.0
2026-03-28 00:15:17 | INFO | CI | os=Windows 11
2026-03-28 00:15:17 | INFO | CI | shell=powershell
2026-03-28 00:15:17 | INFO | CI | cwd=notebooks
2026-03-28 00:15:17 | INFO | CI | github_actions=False
2026-03-28 00:15:17 | INFO | CI | ROOT_PATH = .
2026-03-28 00:15:17 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-28 00:15:17 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-28 00:15:17 | INFO | CI | Logger configured.
2026-03-28 00:15:17 | INFO | CI | ========================
2026-03-28 00:15:17 | INFO | CI | Notebook executed successfully!
2026-03-28 00:15:17 | INFO | CI | ========================
2026-03-28 00:23:14 | INFO | CI | === RUN START ===
2026-03-28 00:23:14 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-28 00:23:14 | INFO | CI | repo_dir=nlp-03
2026-03-28 00:23:14 | INFO | CI | python=3.14.0
2026-03-28 00:23:14 | INFO | CI | os=Windows 11
2026-03-28 00:23:14 | INFO | CI | shell=powershell
2026-03-28 00:23:14 | INFO | CI | cwd=notebooks
2026-03-28 00:23:14 | INFO | CI | github_actions=False
2026-03-28 00:23:14 | INFO | CI | ROOT_PATH = .
2026-03-28 00:23:14 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-28 00:23:14 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-28 00:23:14 | INFO | CI | Logger configured.
2026-03-28 00:23:14 | INFO | CI | ========================
2026-03-28 00:23:14 | INFO | CI | Notebook executed successfully!
2026-03-28 00:23:14 | INFO | CI | ========================
2026-03-28 00:28:55 | INFO | CI | === RUN START ===
2026-03-28 00:28:55 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-28 00:28:55 | INFO | CI | repo_dir=nlp-03
2026-03-28 00:28:56 | INFO | CI | python=3.14.0
2026-03-28 00:28:56 | INFO | CI | os=Windows 11
2026-03-28 00:28:56 | INFO | CI | shell=powershell
2026-03-28 00:28:56 | INFO | CI | cwd=notebooks
2026-03-28 00:28:56 | INFO | CI | github_actions=False
2026-03-28 00:28:56 | INFO | CI | ROOT_PATH = .
2026-03-28 00:28:56 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-28 00:28:56 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-28 00:28:56 | INFO | CI | Logger configured.
2026-03-28 00:28:56 | INFO | CI | ========================
2026-03-28 00:28:56 | INFO | CI | Notebook executed successfully!
2026-03-28 00:28:56 | INFO | CI | ========================
2026-03-28 00:29:24 | INFO | CI | === RUN START ===
2026-03-28 00:29:24 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-28 00:29:24 | INFO | CI | repo_dir=nlp-03
2026-03-28 00:29:24 | INFO | CI | python=3.14.0
2026-03-28 00:29:24 | INFO | CI | os=Windows 11
2026-03-28 00:29:24 | INFO | CI | shell=powershell
2026-03-28 00:29:24 | INFO | CI | cwd=notebooks
2026-03-28 00:29:24 | INFO | CI | github_actions=False
2026-03-28 00:29:24 | INFO | CI | ROOT_PATH = .
2026-03-28 00:29:24 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-28 00:29:24 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-28 00:29:24 | INFO | CI | Logger configured.
2026-03-28 00:29:25 | INFO | CI | ========================
2026-03-28 00:29:25 | INFO | CI | Notebook executed successfully!
2026-03-28 00:29:25 | INFO | CI | ========================
